Address,City,Price,Beds,Baths,SqFt,Lot Size,Year Built,Sold Date,Listing Status,URL
3118 Canon St #3,San Diego,875000,2,2.5,1100,10003,1985,1744095600000,Sold,https://www.redfin.com/CA/San-Diego/3118-Canon-St-92106/unit-3/home/5739374
646 San Antonio Ave,San Diego,5350000,4,6.0,3137,N/A,1995,1749106800000,Sold,https://www.redfin.com/CA/San-Diego/646-San-Antonio-Ave-92106/home/5746183
404 San Antonio Ave Unit E,San Diego,1800000,3,2.0,1934,N/A,1974,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/404-San-Antonio-Ave-92106/unit-E/home/5746965
701 Kettner #3,San Diego,817000,2,2.0,1103,N/A,1983,1750057200000,Sold,https://www.redfin.com/CA/San-Diego/701-Kettner-Blvd-92101/unit-3/home/5752611
655 India St #421,San Diego,1230000,3,2.5,1757,N/A,1992,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/655-India-St-92101/unit-421/home/5777454
1742 Rowan St,San Diego,620000,3,1.0,952,5300,1955,1745564400000,Closed Sale,https://www.redfin.com/CA/San-Diego/1742-Rowan-St-92105/home/5828777
2220 Ridge View Dr,San Diego,810000,3,2.0,1528,8200,1952,1744786800000,Closed Sale,https://www.redfin.com/CA/San-Diego/2220-Ridge-View-Dr-92105/home/5833994
1976 Klauber Ave,San Diego,865000,4,3.0,1350,5776,1955,1745478000000,Closed Sale,https://www.redfin.com/CA/San-Diego/1976-Klauber-Ave-92114/home/5852357
1170 Bittern St,San Diego,500000,2,1.0,1140,11042,1948,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/1170-Bittern-St-92114/home/5854551
1172 Bittern St,San Diego,500000,2,1.0,1194,13350,1948,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/1172-Bittern-St-92114/home/5854552
441 Detroit Pl,San Diego,789000,3,2.0,1103,N/A,1960,1743145200000,Sold,https://www.redfin.com/CA/San-Diego/441-Detroit-Pl-92114/home/5884208
719 S 45th St,San Diego,635000,3,2.0,1486,N/A,1955,1747810800000,Sold,https://www.redfin.com/CA/San-Diego/719-S-45th-St-92113/home/5894950
1146 Delta St,National City,287500,2,1.0,795,6211,1954,1744354800000,Sold,https://www.redfin.com/CA/National-City/1146-Delta-St-91950/home/5899318
7706 Bloomfield Rd,San Diego,384000,3,1.5,959,6300,1962,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/7706-Bloomfield-Rd-92114/home/6013071
851 CARDIFF St,San Diego,460000,2,1.0,750,5000,1954,1748847600000,Closed Sale,https://www.redfin.com/CA/San-Diego/851-Cardiff-St-92114/home/6021539
427 Encinitas Ave,San Diego,611050,3,1.0,949,5500,1954,1748502000000,Closed Sale,https://www.redfin.com/CA/San-Diego/427-Encinitas-Ave-92114/home/6023438
515 Palmwood Dr,San Diego,830000,4,2.0,1350,5900,1967,1745996400000,Closed Sale,https://www.redfin.com/CA/San-Diego/515-Palmwood-Dr-92139/home/6036617
2515 Morningside St,San Diego,720000,3,2.0,1190,6800,1957,1743145200000,Sold,https://www.redfin.com/CA/San-Diego/2515-Morningside-St-92139/home/6045743
6334 Calle Pavana,San Diego,856000,3,2.0,1642,6000,1959,1743058800000,Sold,https://www.redfin.com/CA/San-Diego/6334-Calle-Pavana-92139/home/6046954
2848 Alta View Dr Unit D,San Diego,545900,3,2.0,1373,428625,1981,1749193200000,Closed Sale,https://www.redfin.com/CA/San-Diego/2848-Alta-View-Dr-92139/unit-D/home/6051745
6950 Parkside Ave #121,San Diego,605000,3,2.0,1100,218025,1972,1749798000000,Sold,https://www.redfin.com/CA/San-Diego/6950-Parkside-Ave-92139/unit-121/home/6053105
6912 Camphor Ln,San Diego,474000,2,1.0,840,N/A,1972,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/6912-Camphor-Ln-92139/home/6053310
1768 Regency Way Unit D,Chula Vista,605000,4,2.0,1392,N/A,1974,1743145200000,Closed Sale,https://www.redfin.com/CA/Chula-Vista/1768-Regency-Way-91911/unit-D/home/6137737
2757 Elrose Dr,San Diego,775000,3,2.0,1152,N/A,1966,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/2757-Elrose-Dr-92154/home/6153593
1134 Dearborn Dr,San Diego,800000,3,2.0,1152,6000,1965,1750057200000,Sold,https://www.redfin.com/CA/San-Diego/1134-Dearborn-Dr-92154/home/6153632
938 Blackwood Dr,San Diego,512500,3,2.0,989,5000,1968,1745391600000,Closed Sale,https://www.redfin.com/CA/San-Diego/938-Blackwood-Dr-92154/home/6154818
3310 Biscay Dr,San Diego,800000,4,2.0,1338,N/A,1977,1748588400000,Sold,https://www.redfin.com/CA/San-Diego/3310-Biscay-Dr-92154/home/6159964
4066 Coldwell Ln,San Diego,690000,4,2.0,1336,5000,1969,1743750000000,Closed Sale,https://www.redfin.com/CA/San-Diego/4066-Coldwell-Ln-92154/home/6162089
266 E Park Ave,San Ysidro,650000,3,2.0,1008,4156,2022,1744354800000,Closed Sale,https://www.redfin.com/CA/San-Ysidro/266-E-Park-Ave-92173/home/6185004
6234 Varney Dr,San Diego,850000,5,3.0,1788,6800,1978,1747378800000,Sold,https://www.redfin.com/CA/San-Diego/6234-Varney-Dr-92114/home/6231044
5502 HONORS Dr,San Diego,1330000,4,2.0,1464,18000,1963,1743663600000,Closed Sale,https://www.redfin.com/CA/San-Diego/5502-Honors-Dr-92122/home/6234492
4143 Cole Way,San Diego,1000000,3,2.0,1659,9200,1959,1748502000000,Closed Sale,https://www.redfin.com/CA/San-Diego/4143-Cole-Way-92117/home/6236382
6914 Glenroy St,San Diego,1175000,4,3.0,1738,7400,1956,1746687600000,Closed Sale,https://www.redfin.com/CA/San-Diego/6914-Glenroy-St-92120/home/6239667
6828 Hyde Park Dr Unit D,San Diego,600000,3,2.0,1567,376227,1971,1748588400000,Sold,https://www.redfin.com/CA/San-Diego/6828-Hyde-Park-Dr-92119/unit-D/home/6249972
7835 Cowles Mountain Ct Unit B25,San Diego,460000,2,2.0,1048,N/A,1971,1744268400000,Sold,https://www.redfin.com/CA/San-Diego/7835-Cowles-Mountain-Ct-92119/unit-B25/home/6253590
5170 63rd St,San Diego,1200000,4,2.0,1239,4900,1951,1748415600000,Closed Sale,https://www.redfin.com/CA/San-Diego/5170-63rd-St-92115/home/6276059
12672 Carmel Country Rd #48,San Diego,1310000,4,3.0,1608,N/A,1999,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/12672-Carmel-Country-Rd-92130/unit-48/home/6282308
11353 Creekstone Ln,San Diego,1525000,4,3.0,2092,3261,2001,1748588400000,Sold,https://www.redfin.com/CA/San-Diego/11353-Creekstone-Ln-92128/home/6316182
12526 Montellano,San Diego,1365000,3,2.0,1218,3453,1985,1745823600000,Closed Sale,https://www.redfin.com/CA/San-Diego/12526-Montellano-Ter-92130/home/6396695
5350 Caminito Exquisito,San Diego,2050000,5,3.0,2475,4600,1997,1747810800000,Sold,https://www.redfin.com/CA/San-Diego/5350-Caminito-Exquisito-92130/home/6397274
2729-31 Snowdrop St,San Diego,730000,4,2.0,1374,3044,1958,1748502000000,Sold,https://www.redfin.com/CA/San-Diego/2729-Snowdrop-St-92105/unit-31/home/6428406
2655-57 C St,San Diego,1325000,6,4.0,2644,7032,1950,1744009200000,Sold,https://www.redfin.com/CA/San-Diego/2655-C-St-92102/home/6434065
6105 Parkside Ave,San Diego,840000,5,3.0,1998,4100,1972,1745564400000,Sold,https://www.redfin.com/CA/San-Diego/6105-Parkside-Ave-92139/home/6444576
1664 Oro Vis #236,San Diego,505000,3,2.0,1222,N/A,1980,1749798000000,Closed Sale,https://www.redfin.com/CA/San-Diego/1664-Oro-Vista-Rd-92154/unit-236/home/6448709
6589 SUNNY BREA Dr,San Diego,1185000,4,3.0,2010,N/A,1965,1747638000000,Sold,https://www.redfin.com/CA/San-Diego/6589-Sunny-Brae-Dr-92119/home/6453722
500 W Harbor Dr #903,San Diego,1050000,2,2.0,1184,N/A,1994,1746601200000,Closed Sale,https://www.redfin.com/CA/San-Diego/500-W-Harbor-Dr-92101/unit-903/home/6463499
2730 Creekside Village Sq,San Diego,765000,4,2.5,1584,2077,2004,1742886000000,Sold,https://www.redfin.com/CA/San-Diego/2730-Creekside-Village-Sq-92154/home/6490327
235 MARKET #510,San Diego,550000,2,1.5,1036,N/A,2002,1745823600000,Sold,https://www.redfin.com/CA/San-Diego/235-Market-St-92101/unit-510/home/6505378
7718 Via Vivaldi,San Diego,2050000,3,3.5,3117,5424,2003,1750230000000,Sold,https://www.redfin.com/CA/San-Diego/7718-Via-Vivaldi-92127/home/6542280
877 Island Ave #908,San Diego,1190000,1,1.5,1210,N/A,2002,1748588400000,Sold,https://www.redfin.com/CA/San-Diego/877-Island-Ave-92101/unit-908/home/6564621
13330 Via Magdalena #6,San Diego,1070000,3,2.5,1507,67368,2003,1743145200000,Sold,https://www.redfin.com/CA/San-Diego/13330-Via-Magdalena-92129/unit-6/home/6610211
4425 50Th St #4,San Diego,325000,1,1.0,560,15678,1964,1744614000000,Sold,https://www.redfin.com/CA/San-Diego/4425-50th-St-92115/unit-4/home/6616709
1199 Pacific Hwy #2005,San Diego,1375000,3,2.0,1447,N/A,2004,1746514800000,Sold,https://www.redfin.com/CA/San-Diego/1199-Pacific-Hwy-92101/unit-2005/home/6620830
15086 Avenida Venusto #223,San Diego,496000,1,1.0,708,127349,1988,1747292400000,Sold,https://www.redfin.com/CA/San-Diego/15086-Avenida-Venusto-92128/unit-223/home/6637138
14918 Avenida Venusto #136,San Diego,501000,1,1.0,708,N/A,1988,1747810800000,Sold,https://www.redfin.com/CA/San-Diego/14918-Avenida-Venusto-92128/unit-136/home/6637571
8219 Jade Coast Rd #98,San Diego,425000,1,1.0,503,205576,1990,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/8219-Jade-Coast-Rd-92126/unit-98/home/6644743
7509 Draper Ave #310,La Jolla,1225000,2,2.0,944,N/A,2000,1744959600000,Sold,https://www.redfin.com/CA/La-Jolla/7509-Draper-Ave-92037/unit-310/home/6650630
5410 La Jolla Blvd Unit A212,La Jolla,1500000,2,1.5,1340,N/A,2005,1745218800000,Sold,https://www.redfin.com/CA/La-Jolla/5410-La-Jolla-Blvd-92037/unit-A212/home/6650927
202 Coast Blvd #6,La Jolla,7250000,3,2.5,2194,N/A,2000,1745564400000,Sold,https://www.redfin.com/CA/La-Jolla/202-Coast-Blvd-92037/unit-6/home/6668927
801 W Hawthorn St #106,San Diego,600000,2,2.5,1018,15020,2004,1742886000000,Sold,https://www.redfin.com/CA/San-Diego/801-W-Hawthorn-St-92101/unit-106/home/6673808
801 W Hawthorn St #208,San Diego,560000,2,2.0,786,N/A,2004,1742799600000,Sold,https://www.redfin.com/CA/San-Diego/801-W-Hawthorn-St-92101/unit-208/home/6673818
1205 Pacific Hwy #1201,San Diego,1539000,3,2.0,1944,N/A,2005,1748329200000,Sold,https://www.redfin.com/CA/San-Diego/1205-Pacific-Hwy-92101/unit-1201/home/6675306
1643 6th Ave #304,San Diego,625000,2,2.0,1090,N/A,2004,1747206000000,Sold,https://www.redfin.com/CA/San-Diego/1643-6th-Ave-92101/unit-304/home/6675721
427 9Th Ave #1204,San Diego,675000,1,1.0,871,N/A,2005,1750402800000,Sold,https://www.redfin.com/CA/San-Diego/427-9th-Ave-92101/unit-1204/home/6677724
3835 Elijah Ct #526,San Diego,810000,2,2.0,1102,N/A,2002,1743145200000,Sold,https://www.redfin.com/CA/San-Diego/3835-Elijah-Ct-92130/unit-526/home/6684261
6602 Beadnell Way #21,San Diego,515000,2,2.0,923,66527,1994,1744700400000,Sold,https://www.redfin.com/CA/San-Diego/6602-Beadnell-Way-92117/unit-21/home/6685735
7150 Shoreline Dr #3214,San Diego,515000,1,1.0,597,N/A,1985,1744614000000,Sold,https://www.redfin.com/CA/San-Diego/7150-Shoreline-Dr-92122/unit-3214/home/6746316
4230 Montalvo St #5,San Diego,449000,1,1.0,597,N/A,1986,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/4230-Montalvo-St-92107/unit-5/home/6791166
3624 Canon,San Diego,2495000,3,3.5,2675,26571,2005,1749020400000,Sold,https://www.redfin.com/CA/San-Diego/3624-Canon-St-92106/home/7486037
14420 Rancho Del Prado Trl,San Diego,3227500,4,3.5,4000,17109,2004,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/14420-Rancho-del-Prado-Trl-92127/home/7495688
18317 Rousillon Ct,San Diego,2060000,4,3.5,3459,12031,2003,1745478000000,Sold,https://www.redfin.com/CA/San-Diego/18317-Rousillon-Ct-92128/home/7496157
2500 6Th Ave #605,San Diego,2300000,3,2.5,3223,29702,2005,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/2500-6th-Ave-92103/unit-605/home/7530553
2500 6Th Ave #905,San Diego,2650000,2,2.5,3223,29702,2005,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/2500-6th-Ave-92103/unit-905/home/7533849
2500 6th Ave #1008,San Diego,2845000,3,2.5,2625,N/A,2005,1743490800000,Sold,https://www.redfin.com/CA/San-Diego/2500-6th-Ave-92103/unit-1008/home/7533854
101 Market St #412,San Diego,760000,3,3.5,1496,N/A,2002,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/101-Market-St-92101/unit-412/home/7543491
1049 Felspar St #5,San Diego,490000,0,1.0,405,N/A,1986,1746601200000,Sold,https://www.redfin.com/CA/San-Diego/1049-Felspar-St-92109/unit-5/home/12158981
700 W E St #1706,San Diego,1575000,2,2.0,1548,N/A,2008,1745564400000,Sold,https://www.redfin.com/CA/San-Diego/700-W-E-St-92101/unit-1706/home/12159340
4455 Home Ave #6,San Diego,416000,2,1.5,780,N/A,1986,1750057200000,Closed Sale,https://www.redfin.com/CA/San-Diego/4455-Home-Ave-92105/unit-6/home/12159497
700 W E St #4301,San Diego,2325000,3,2.0,1693,N/A,2007,1747897200000,Sold,https://www.redfin.com/CA/San-Diego/700-W-E-St-92101/unit-4301/home/12159659
2313 Gardenia Way,National City,780612,4,2.5,1735,129637,2007,1743145200000,Sold,https://www.redfin.com/CA/National-City/2313-Gardenia-Way-91950/home/12163280
3548 Sandcastle Ln,San Diego,890000,2,2.0,1386,N/A,2007,1750143600000,Closed Sale,https://www.redfin.com/CA/San-Diego/3548-Sandcastle-Ln-92110/home/12163319
1262 Kettner Blvd #901,San Diego,1579000,2,2.0,1949,N/A,2008,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/1262-Kettner-Blvd-92101/unit-901/home/12330540
5438 Caminito Bayo,La Jolla,2525000,3,3.0,2428,4097,2011,1748329200000,Sold,https://www.redfin.com/CA/La-Jolla/5438-Caminito-Bayo-92037/home/17193577
325 7th Ave #212,San Diego,1525000,3,2.5,1802,N/A,2007,1745564400000,Sold,https://www.redfin.com/CA/San-Diego/325-7th-Ave-92101/unit-212/home/17202222
1441 9th Ave #905,San Diego,869000,2,2.0,1253,22202,2008,1744268400000,Closed Sale,https://www.redfin.com/CA/San-Diego/1441-9th-Ave-92101/unit-905/home/18712231
3439 Ibis St,San Diego,1775000,3,3.0,2157,6371,2013,1749538800000,Sold,https://www.redfin.com/CA/San-Diego/3439-Ibis-St-92103/home/22572620
17917 Alva Rd,San Diego,2350000,5,4.0,3690,8062,2011,1745996400000,Closed Sale,https://www.redfin.com/CA/San-Diego/17917-Alva-Rd-92127/home/22636969
8122 Twilight Point Way,San Diego,4500000,5,5.5,5288,N/A,2014,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/8122-Twilight-Point-Way-92127/home/22900807
702 Ash St #904,San Diego,630000,2,1.5,1032,N/A,1927,1747983600000,Sold,https://www.redfin.com/CA/San-Diego/702-Ash-St-92101/unit-904/home/40156498
16604 Sweet Leilani Ln,San Diego,3700000,4,5.5,3563,12548,2012,1749106800000,Closed Sale,https://www.redfin.com/CA/San-Diego/16604-Sweet-Leilani-Ln-92127/home/40520317
1780 Chalcedony St,San Diego,1350000,2,1.0,768,3654,1942,1744614000000,Closed Sale,https://www.redfin.com/CA/San-Diego/1780-Chalcedony-St-92109/home/52267518
8543 Aspect Dr,San Diego,1390000,3,2.5,1666,110249,2017,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/8543-Aspect-Dr-92108/home/145147619
6932 The Preserve Ter,San Diego,6500000,7,7.5,7868,25700,2020,1745564400000,Closed Sale,https://www.redfin.com/CA/San-Diego/6932-The-Preserve-Ter-92130/home/161867568
16750 Coyote Bush Dr #20,San Diego,1110000,2,2.5,1787,N/A,2018,1749193200000,Sold,https://www.redfin.com/CA/San-Diego/16750-Coyote-Bush-Dr-92127/unit-20/home/167684454
1206 Muirlands Dr,La Jolla,17500000,7,9.0,7792,26540,2021,1747378800000,Closed Sale,https://www.redfin.com/CA/La-Jolla/1206-Muirlands-Dr-92037/home/168920725
2604 5th Ave #704,San Diego,2525000,2,2.0,2249,N/A,2018,1743145200000,Sold,https://www.redfin.com/CA/San-Diego/2604-5th-Ave-92103/unit-704/home/170660145
5503 Sandcliff Ln #150,San Diego,620000,2,2.5,1310,N/A,2020,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/5503-Sandcliff-Ln-92154/unit-150/home/172051297
10930 Tyler Way,San Diego,1020000,2,2.0,1454,N/A,2019,1743058800000,Sold,https://www.redfin.com/CA/San-Diego/10930-Tyler-Way-92129/home/172700705
5460 Shorefront Dr #137,San Diego,679000,4,2.5,1703,N/A,2023,1746082800000,Sold,https://www.redfin.com/CA/San-Diego/5460-Shorefront-Dr-92154/unit-137/home/185187019
4473 30Th St #208,San Diego,1195000,2,2.5,1473,14052,2024,1747897200000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-208/home/192901008
8301 Mission gorge Rd #139,Santee,302000,2,2.0,1344,1344,1969,1743490800000,Closed Sale,https://www.redfin.com/CA/Santee/8301-Mission-Gorge-Rd-92071/unit-139/home/193633760
4473 30Th St #401,San Diego,1425000,2,2.0,1221,14052,2024,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-401/home/194544800
4473 30th St #203,San Diego,1095000,2,2.5,1438,14052,2024,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-203/home/194545211
4473 30th St #213,San Diego,985000,2,2.5,1372,14052,2024,1748329200000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-213/home/194545289
4473 30Th St #206,San Diego,1095000,2,2.5,1437,14052,2024,1749538800000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-206/home/194564180
1956 Hornblend St #9,San Diego,1165000,2,2.5,1272,N/A,2023,1748329200000,Sold,https://www.redfin.com/CA/San-Diego/1956-Hornblend-St-92109/unit-9/home/194679901
10770 Black Mountain Rd Spc 179,San Diego,408000,3,2.0,1535,868935,2022,1746169200000,Sold,https://www.redfin.com/CA/San-Diego/10770-Black-Mountain-Rd-92126/unit-179/home/194689547
4473 30th St #210,San Diego,1195000,2,2.5,1431,14052,2024,1744700400000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-210/home/194809339
12615 paseo del verano,San Diego,630000,3,2.0,1455,N/A,1973,1743058800000,Sold,https://www.redfin.com/CA/San-Diego/12615-Paseo-Del-Verano-92128/home/194955872
4473 30th St #211,San Diego,995000,2,2.5,1410,14052,2024,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-211/home/195080797
12824 Corte Arauco,San Diego,871200,3,2.0,1471,175160,1987,1746082800000,Sold,https://www.redfin.com/CA/San-Diego/12824-Corte-Arauco-92128/home/195160773
2950 Iris Ave Spc 24,San Diego,97000,2,1.0,684,N/A,1971,1745478000000,Closed Sale,https://www.redfin.com/CA/San-Diego/2950-Iris-Ave-92154/unit-24/home/195233233
814-816 Niantic Ct,San Diego,1500000,3,2.0,1372,2663,1940,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/814-Niantic-Ct-92109/home/195262411
818-820 Ostend Ct,San Diego,1400000,N/A,N/A,2437,2437,1940,1745478000000,Closed Sale,https://www.redfin.com/CA/San-Diego/818-Ostend-Ct-92109/home/195264225
4473 30Th St #217,San Diego,1195000,2,2.5,1431,14052,2024,1747983600000,Sold,https://www.redfin.com/CA/San-Diego/4473-30th-St-92116/unit-217/home/195281458
5937-39 Cumberland St,San Diego,1105000,6,4.0,N/A,8314,1955,1749020400000,Sold,https://www.redfin.com/CA/San-Diego/5937-Cumberland-St-92139/home/195342720
5420 La Jolla Blvd #102,La Jolla,2400000,2,2.0,1827,N/A,2005,1745305200000,Sold,https://www.redfin.com/CA/La-Jolla/5420-La-Jolla-Blvd-92037/unit-102/home/195490823
2611 Everly Dr,San Diego,1835888,4,3.5,2301,N/A,2025,1745564400000,Closed Sale,https://www.redfin.com/CA/San-Diego/2611-Everly-Dr-92108/home/195515841
8069 Caminito Gianna,La Jolla,1000000,3,2.5,1550,735512,1979,1748588400000,Sold,https://www.redfin.com/CA/La-Jolla/8069-Caminito-Gianna-92037/home/195597780
10718 Dabney Dr,San Diego,479000,1,1.0,598,184258,1990,1750402800000,Closed Sale,https://www.redfin.com/CA/San-Diego/10718-Dabney-Dr-92126/home/195783274
4229 Saint James Pl,San Diego,2800000,6,3.5,3474,13336,1911,1748588400000,Sold,https://www.redfin.com/CA/San-Diego/4229-Saint-James-Pl-92103/home/195844674
4115-17 Idaho St,San Diego,1150000,4,2.0,N/A,4198,1923,1749625200000,Sold,https://www.redfin.com/CA/San-Diego/4115-Idaho-St-92104/home/196052692
12172 Caddy Row,San Diego,1310000,3,2.0,1642,6083,1986,1745823600000,Closed Sale,https://www.redfin.com/CA/San-Diego/12172-Caddy-Row-92128/home/4258541
14004 Venice Ct,San Diego,1750000,3,3.0,2302,N/A,1989,N/A,N/A,https://www.redfin.com/CA/San-Diego/14004-Venice-Ct-92109/home/4450710
13297 Glencliff Way,San Diego,2600000,4,3.5,3407,17529,1989,N/A,N/A,https://www.redfin.com/CA/San-Diego/13297-Glencliff-Way-92130/home/4470277
8862 La Cartera St,San Diego,1108000,3,2.0,1486,5933,1987,N/A,N/A,https://www.redfin.com/CA/San-Diego/8862-La-Cartera-St-92129/home/4486292
4615 Da Vinci St,San Diego,1255000,3,3.0,2000,3215,1992,N/A,N/A,https://www.redfin.com/CA/San-Diego/4615-Da-Vinci-St-92130/home/4513613
4421 Carmel Valley Rd,San Diego,3950000,5,6.0,5643,74488,2001,N/A,N/A,https://www.redfin.com/CA/San-Diego/4421-Carmel-Valley-Rd-92130/home/4520929
11355 Camarosa Cir,San Diego,900000,3,2.0,1433,5200,1977,N/A,N/A,https://www.redfin.com/CA/San-Diego/11355-Camarosa-Cir-92126/home/4541862
7634 Trailbrush Ter,San Diego,1200000,4,3.0,2104,7405,1992,N/A,N/A,https://www.redfin.com/CA/San-Diego/7634-Trailbrush-Ter-92126/home/4560149
10825 Camino Ruiz #51,San Diego,416000,1,1.0,662,N/A,1984,N/A,N/A,https://www.redfin.com/CA/San-Diego/10825-Camino-Ruiz-92126/unit-51/home/4571784
12132 Royal Birkdale Row #406,San Diego,729000,2,2.0,1457,N/A,1987,N/A,N/A,https://www.redfin.com/CA/San-Diego/12132-Royal-Birkdale-Row-92128/unit-406/home/4633941
11922 Cypress Canyon Rd #2,San Diego,870000,2,3.0,1129,N/A,1999,N/A,N/A,https://www.redfin.com/CA/San-Diego/11922-Cypress-Canyon-Rd-92131/unit-2/home/4831141
7857 Embry Pt,San Diego,655000,5,3.0,2176,5985,1984,N/A,N/A,https://www.redfin.com/CA/San-Diego/7857-Embry-Pt-92126/home/4857978
8069 Caminito Gianna #186,La Jolla,1000000,3,3.0,1450,N/A,1979,N/A,N/A,https://www.redfin.com/CA/La-Jolla/8069-Caminito-Gianna-92037/unit-186/home/4885734
4165 Porte de Palmas #195,San Diego,1100000,3,3.0,1394,N/A,1986,N/A,N/A,https://www.redfin.com/CA/San-Diego/4165-Porte-de-Palmas-92122/unit-195/home/4888859
6333 La Jolla Blvd #276,La Jolla,870000,2,2.0,989,N/A,1970,N/A,N/A,https://www.redfin.com/CA/La-Jolla/6333-La-Jolla-Blvd-92037/unit-276/home/4918358
733 Queenstown Ct #729,San Diego,2038000,N/A,N/A,2082,2500,1936,N/A,N/A,https://www.redfin.com/CA/San-Diego/733-Queenstown-Ct-92109/unit-729/home/5182669
3184 Old Heather Rd,San Diego,1100000,3,3.0,1562,2601,1983,N/A,N/A,https://www.redfin.com/CA/San-Diego/3184-Old-Heather-Rd-92111/home/5206803
1945 Frankfort St #1943,San Diego,3250000,6,5.0,3047,7300,2000,N/A,N/A,https://www.redfin.com/CA/San-Diego/1945-Frankfort-St-92110/unit-1943/home/5218371
2045 Burton St #49,San Diego,550000,2,2.0,1138,N/A,1994,N/A,N/A,https://www.redfin.com/CA/San-Diego/2045-Burton-St-92111/unit-49/home/5221613
2478 E Ingersoll St,San Diego,1500000,7,3.0,2608,10999,1942,N/A,N/A,https://www.redfin.com/CA/San-Diego/2478-E-Ingersoll-St-92111/home/5225788
3050 Rue Dorleans #352,San Diego,420000,1,1.0,547,N/A,1969,N/A,N/A,https://www.redfin.com/CA/San-Diego/3050-Rue-Dorleans-92110/unit-352/home/5274052
3724 Nile St,San Diego,1080000,2,1.0,658,3498,1931,N/A,N/A,https://www.redfin.com/CA/San-Diego/3724-Nile-St-92104/home/5313241
4534 39th St #38,San Diego,1300000,4,4.0,2252,5166,1928,N/A,N/A,https://www.redfin.com/CA/San-Diego/4534-39th-St-92116/unit-38/home/5314688
4429 36th St #31,San Diego,1320000,5,3.0,1760,4125,1926,N/A,N/A,https://www.redfin.com/CA/San-Diego/4429-36th-St-92116/unit-31/home/5315621
4483 38th St,San Diego,625000,2,1.0,713,4062,1926,1743490800000,Closed Sale,https://www.redfin.com/CA/San-Diego/4483-38th-St-92116/home/5316222
3912 Polk Ave,San Diego,500000,2,1.0,784,2252,2024,N/A,N/A,https://www.redfin.com/CA/San-Diego/3912-Polk-Ave-92105/home/5319653
3875 37th St #3875,San Diego,1325000,7,3.0,2346,3498,2021,N/A,N/A,https://www.redfin.com/CA/San-Diego/3875-37th-St-92105/unit-3875/home/5321660
1883 Froude St #1885,San Diego,2250000,4,2.0,1789,7000,1953,N/A,N/A,https://www.redfin.com/CA/San-Diego/1883-Froude-St-92107/unit-1885/home/5338422
4585 Saratoga Ave #87,San Diego,1650000,3,3.0,1729,3502,1967,N/A,N/A,https://www.redfin.com/CA/San-Diego/4585-Saratoga-Ave-92107/unit-87/home/5338621
2133 Chatsworth Blvd #101,San Diego,590000,1,1.0,825,N/A,1982,N/A,N/A,https://www.redfin.com/CA/San-Diego/2133-Chatsworth-Blvd-92107/unit-101/home/5346718
811 W Pennsylvania Ave,San Diego,864000,3,1.0,1572,7000,2021,N/A,N/A,https://www.redfin.com/CA/San-Diego/811-W-Pennsylvania-Ave-92103/home/5362027
6548 Bell Bluff Ave,San Diego,391000,2,1.0,820,N/A,1972,N/A,N/A,https://www.redfin.com/CA/San-Diego/6548-Bell-Bluff-Ave-92119/home/5409537
5669 Mary Lane Dr,San Diego,2139000,4,2.0,1920,6400,1953,N/A,N/A,https://www.redfin.com/CA/San-Diego/5669-Mary-Lane-Dr-92115/home/5462609
5885 El Cajon Blvd #305,San Diego,372000,2,2.0,1123,N/A,1984,N/A,N/A,https://www.redfin.com/CA/San-Diego/5885-El-Cajon-Blvd-92115/unit-305/home/5468615
6244 Pembroke Dr,San Diego,960000,3,2.0,1568,5700,1952,N/A,N/A,https://www.redfin.com/CA/San-Diego/6244-Pembroke-Dr-92115/home/5472746
6666 Vigo Dr,La Mesa,923000,4,4.0,2247,10100,1960,N/A,N/A,https://www.redfin.com/CA/La-Mesa/6666-Vigo-Dr-91942/home/5526689
